Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1551,28,Male,Skirt,Outerwear,82,West Virginia,S,Peach,Spring,3.843103,Yes,Store Pickup,No,No,22,Venmo,Monthly
2895,29,Female,Sandals,Footwear,73,Louisiana,L,Brown,Spring,3.93275,No,Store Pickup,No,No,16,Credit Card,Weekly
2593,44,Female,Dress,Footwear,98,Washington,M,Red,Summer,3.843394,No,Standard,Yes,No,44,Debit Card,Monthly
3502,31,Male,Handbag,Footwear,48,Kansas,S,Lavender,Winter,2.651162,No,Standard,Yes,Yes,6,Venmo,Fortnightly
3351,46,Male,Dress,Accessories,24,Alabama,XL,Indigo,Winter,3.792353,No,Standard,No,No,18,Cash,Annually
3747,39,Male,Jewelry,Accessories,53,New Jersey,S,Silver,Winter,4.837828,No,Free Shipping,Yes,No,43,PayPal,Quarterly
774,65,Female,Dress,Accessories,66,Delaware,L,Lavender,Fall,4.87352,No,Store Pickup,Yes,Yes,48,Venmo,Annually
1655,62,Male,Coat,Accessories,82,New Hampshire,M,Violet,Spring,3.880047,No,Next Day Air,Yes,No,6,Credit Card,Weekly
2232,68,Male,Hoodie,Clothing,20,Missouri,L,Magenta,Spring,3.776855,No,Free Shipping,No,No,40,PayPal,Weekly
968,40,Female,Skirt,Accessories,97,New Mexico,M,Gold,Summer,2.700748,No,Next Day Air,No,No,10,Debit Card,Bi-Weekly
3427,33,Male,Socks,Clothing,20,Tennessee,M,Purple,Spring,4.35331,No,Next Day Air,Yes,Yes,6,Venmo,Every 3 Months
2266,53,Male,Boots,Footwear,41,Delaware,M,Pink,Fall,4.716051,Yes,2-Day Shipping,No,No,36,PayPal,Monthly
3024,53,Female,Boots,Footwear,94,Missouri,M,White,Spring,4.739327,Yes,Free Shipping,No,Yes,25,PayPal,Quarterly
736,65,Male,Backpack,Footwear,56,Colorado,S,Orange,Summer,3.340106,No,2-Day Shipping,No,Yes,19,Credit Card,Monthly
975,33,Male,Belt,Accessories,22,Virginia,M,Yellow,Summer,4.236506,Yes,2-Day Shipping,Yes,Yes,43,PayPal,Quarterly
2640,29,Male,Sunglasses,Clothing,67,Rhode Island,M,Yellow,Spring,2.62607,Yes,Express,No,No,37,Credit Card,Bi-Weekly
2863,57,Male,Hoodie,Accessories,54,Wisconsin,L,Gold,Fall,4.719406,No,Store Pickup,Yes,Yes,18,Credit Card,Annually
217,20,Male,Sunglasses,Footwear,48,Illinois,M,Silver,Summer,4.674802,Yes,Store Pickup,Yes,No,7,Credit Card,Annually
1243,69,Female,Boots,Accessories,26,Alabama,M,Cyan,Summer,3.814414,Yes,Next Day Air,Yes,Yes,35,PayPal,Quarterly
3542,64,Male,Blouse,Clothing,27,Nebraska,L,Violet,Winter,2.718081,No,2-Day Shipping,No,No,41,Credit Card,Fortnightly
3219,23,Female,Sunglasses,Accessories,92,Pennsylvania,S,Black,Summer,3.616695,No,Free Shipping,Yes,No,46,Debit Card,Quarterly
3213,46,Female,Pants,Clothing,29,Iowa,M,Olive,Fall,3.675688,No,Express,No,No,12,Credit Card,Bi-Weekly
2275,55,Male,Backpack,Footwear,40,Minnesota,S,Beige,Summer,4.286089,No,Next Day Air,Yes,Yes,26,PayPal,Quarterly
1504,29,Male,Shirt,Clothing,26,Louisiana,M,Peach,Winter,3.592363,Yes,Store Pickup,Yes,Yes,35,Cash,Bi-Weekly
972,62,Male,Jacket,Clothing,75,Kentucky,M,Olive,Spring,3.204315,No,Free Shipping,Yes,Yes,18,Debit Card,Every 3 Months
2338,64,Female,Hat,Clothing,91,Massachusetts,M,Maroon,Summer,2.802718,No,Store Pickup,No,No,36,Cash,Annually
1487,49,Male,Skirt,Clothing,42,Nevada,L,Green,Winter,4.259735,Yes,Store Pickup,Yes,No,1,Bank Transfer,Monthly
631,27,Male,Pants,Clothing,40,Alabama,S,Indigo,Winter,4.780805,No,Standard,Yes,No,1,Bank Transfer,Bi-Weekly
876,36,Male,Backpack,Footwear,98,Delaware,S,Maroon,Summer,4.061657,Yes,Free Shipping,No,Yes,26,Bank Transfer,Weekly
3533,32,Male,T-shirt,Footwear,89,New Mexico,M,Peach,Winter,3.086738,No,Express,No,No,28,Cash,Weekly
1888,55,Female,Belt,Clothing,49,Rhode Island,L,Charcoal,Fall,2.519563,No,2-Day Shipping,No,Yes,8,PayPal,Bi-Weekly
187,27,Male,Dress,Footwear,58,Hawaii,M,Teal,Spring,4.682939,Yes,Next Day Air,No,No,35,PayPal,Bi-Weekly
3443,24,Female,Blouse,Clothing,82,Virginia,M,Gold,Spring,4.438015,No,Next Day Air,No,Yes,14,Debit Card,Annually
2575,48,Female,Jewelry,Clothing,29,Iowa,XL,Green,Spring,2.531949,No,Express,Yes,No,36,PayPal,Every 3 Months
2198,43,Male,Sneakers,Clothing,52,Texas,M,Olive,Summer,4.853354,No,Standard,Yes,No,18,Credit Card,Quarterly
3779,63,Female,Sunglasses,Clothing,58,Maine,M,Indigo,Winter,3.147055,No,Next Day Air,No,Yes,39,Venmo,Monthly
1565,67,Male,Skirt,Footwear,99,Indiana,M,Maroon,Fall,4.25707,No,Next Day Air,No,No,46,Credit Card,Weekly
1523,60,Male,Shirt,Accessories,31,North Dakota,XL,Red,Fall,4.350499,No,Store Pickup,Yes,No,33,PayPal,Quarterly
3279,37,Female,Sweater,Clothing,60,Kentucky,S,Indigo,Winter,4.815231,No,Standard,No,No,37,Credit Card,Fortnightly
406,62,Male,Sandals,Footwear,72,Oregon,M,Olive,Winter,3.321849,Yes,Express,No,No,26,Debit Card,Monthly
3772,18,Female,Boots,Clothing,73,Georgia,M,Teal,Spring,2.557102,Yes,Express,Yes,Yes,44,Credit Card,Fortnightly
1796,45,Female,Dress,Clothing,23,North Dakota,S,Gold,Spring,4.398705,No,2-Day Shipping,Yes,Yes,24,PayPal,Every 3 Months
3368,41,Female,Belt,Footwear,31,Delaware,M,White,Spring,2.664482,No,2-Day Shipping,Yes,No,43,Debit Card,Annually
2025,24,Male,Blouse,Accessories,53,Kentucky,M,Peach,Fall,3.702341,Yes,Express,No,No,18,PayPal,Every 3 Months
1351,60,Female,Boots,Accessories,56,Wyoming,S,Brown,Fall,3.436954,No,Standard,No,Yes,44,Cash,Annually
405,45,Female,Hoodie,Footwear,28,Utah,M,Green,Spring,3.648886,No,Standard,No,No,32,Debit Card,Monthly
722,37,Male,Sweater,Clothing,91,North Dakota,L,Purple,Spring,4.384213,No,2-Day Shipping,No,No,24,Credit Card,Monthly
491,59,Female,Sandals,Footwear,50,West Virginia,M,Green,Fall,4.451139,Yes,Standard,Yes,No,23,PayPal,Weekly
2031,38,Male,Sneakers,Footwear,76,Montana,L,Indigo,Winter,2.58829,Yes,Free Shipping,Yes,No,27,Debit Card,Weekly
331,33,Female,Skirt,Clothing,34,Arizona,L,Indigo,Fall,4.442602,No,Next Day Air,Yes,Yes,25,PayPal,Quarterly
2669,30,Male,Belt,Clothing,41,Nebraska,L,Green,Fall,4.709678,No,2-Day Shipping,No,No,25,Cash,Quarterly
1781,28,Male,Sandals,Clothing,96,Illinois,S,Brown,Summer,3.780319,No,Express,No,Yes,26,Debit Card,Every 3 Months
2570,69,Female,Pants,Clothing,33,Arizona,XL,Maroon,Winter,2.606413,No,Standard,No,Yes,32,Venmo,Every 3 Months
3368,29,Male,Socks,Footwear,83,Nebraska,L,Turquoise,Summer,4.217743,No,Next Day Air,No,Yes,9,Bank Transfer,Every 3 Months
3145,62,Male,Skirt,Footwear,85,Montana,S,Olive,Fall,3.311903,Yes,Standard,No,No,28,Cash,Monthly
2131,27,Male,Blouse,Clothing,92,Rhode Island,S,Orange,Summer,2.756892,Yes,2-Day Shipping,Yes,Yes,4,Cash,Every 3 Months
2892,24,Male,Hoodie,Clothing,28,Nebraska,L,Orange,Fall,4.184795,No,Next Day Air,Yes,No,40,Bank Transfer,Monthly
141,35,Female,Backpack,Outerwear,92,Tennessee,M,Yellow,Spring,3.772313,No,Store Pickup,Yes,Yes,4,Debit Card,Bi-Weekly
3047,59,Male,Sandals,Accessories,38,Nevada,M,Purple,Spring,3.120172,No,Standard,No,Yes,5,Debit Card,Bi-Weekly
1085,36,Male,T-shirt,Clothing,37,New Jersey,L,Gray,Summer,3.221601,No,Free Shipping,Yes,No,18,PayPal,Every 3 Months
3249,56,Male,Skirt,Footwear,20,Vermont,M,Silver,Winter,4.03961,No,Standard,No,No,29,Bank Transfer,Annually
3193,23,Female,Scarf,Footwear,60,Mississippi,M,Cyan,Spring,3.497002,No,2-Day Shipping,No,Yes,9,Debit Card,Every 3 Months
518,52,Female,Scarf,Clothing,36,Maryland,L,Gold,Summer,3.064593,No,Express,No,No,43,Bank Transfer,Every 3 Months
3599,60,Male,Sneakers,Clothing,72,Illinois,S,Magenta,Fall,3.906584,Yes,Free Shipping,No,Yes,21,Credit Card,Weekly
2113,27,Male,Shoes,Clothing,56,Nevada,M,Green,Summer,4.980921,No,Store Pickup,Yes,Yes,37,Bank Transfer,Quarterly
750,54,Female,Sandals,Accessories,26,Massachusetts,L,Olive,Summer,3.784561,No,Free Shipping,Yes,No,48,Credit Card,Bi-Weekly
3208,62,Male,Hoodie,Accessories,37,Nebraska,M,Yellow,Summer,3.688741,Yes,Free Shipping,No,Yes,22,Cash,Fortnightly
1976,59,Male,Socks,Clothing,74,Texas,M,Purple,Winter,4.389479,No,Next Day Air,Yes,Yes,13,Credit Card,Fortnightly
1946,25,Female,Boots,Accessories,82,Kentucky,XL,Green,Summer,2.568988,Yes,Express,No,Yes,46,Cash,Fortnightly
3241,40,Female,Shorts,Clothing,22,Missouri,S,Brown,Fall,4.565337,Yes,Next Day Air,Yes,Yes,20,Cash,Every 3 Months
262,41,Female,Pants,Accessories,59,North Dakota,S,Pink,Summer,3.459016,No,Store Pickup,No,No,5,Cash,Weekly
1348,57,Male,Sneakers,Accessories,83,Alaska,M,Violet,Summer,3.804775,No,Express,No,Yes,28,Bank Transfer,Annually
3866,45,Male,Jeans,Accessories,81,Washington,L,Gray,Fall,4.132205,No,Standard,Yes,No,5,Cash,Quarterly
1864,23,Male,Boots,Accessories,82,Utah,XL,Gold,Summer,2.622761,No,Express,No,No,26,Bank Transfer,Every 3 Months
3607,62,Male,Hat,Clothing,59,Tennessee,M,Silver,Spring,3.852064,No,Standard,No,No,40,PayPal,Quarterly
